Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
BHASMA,Sphatika Bhasma,,100 gms.,,,,14.78,
BHASMA,Sphatika Bhasma,,1 Kg.,,,,88.08,
BHASMA,Tankan Bhasma,,5 gms.,,,,6.64,
BHASMA,Tankan Bhasma,,100 gms.,,,,29.34,
BHASMA,Tankan Bhasma,,1 Kg.,,,,233.72,
BHASMA,Tankan Bhasma,,500 gms.,,,,120.24,
CHOORNA,Ajmodadi Choorna,,50 gms.,,,,26.8,
CHOORNA,Ajmodadi Choorna,,1 Kg.,,,,375.82,
CHOORNA,Amalaki Choorna,,100 gms.,,,,44.18,
CHOORNA,Amalaki Choorna,,1 Kg.,,,,382.1,
CHOORNA,Ashtang Lavan Choorna,,50 gms.,,,,42.06,
CHOORNA,Ashtang Lavan Choorna,,1 Kg.,,,,681.05,
CHOORNA,Ashwagandha Choorna,,50 gms.,,,,33.73,
CHOORNA,Ashwagandha Choorna,,1 Kg.,,,,514.41,
CHOORNA,Avipattikar Choorna,,50 gms.,,,,32.53,
CHOORNA,Avipattikar Choorna,,1 Kg.,,,,490.35,
CHOORNA,Bakuchi Choorna,,10 gms.,,,,7.87,
CHOORNA,Bakuchi Choorna,,1 Kg.,,,,272.8,
CHOORNA,Balchaturbhadrika Choorna,,25 gms.,,,,198.05,
CHOORNA,Balchaturbhadrika Choorna,,1 Kg.,,,,7651.46,
CHOORNA,Bhaskarlavan Choorna,,50 gms.,,,,30.25,
CHOORNA,Bhaskarlavan Choorna,,1 Kg.,,,,444.8,
CHOORNA,Dadimastak Choorna,,50 gms.,,,,35.02,
CHOORNA,Dadimastak Choorna,,1 Kg.,,,,540.26,
CHOORNA,Dashana Sanskar Choorna,,20 gms.,,,,18.99,
CHOORNA,Dashana Sanskar Choorna,,1 Kg.,,,,600.58,
CHOORNA,Guduchi Satva Choorna,,50 gms.,,,,29.96,
CHOORNA,Guduchi Satva Choorna,,100 gms.,,,,49.87,
CHOORNA,Haritaki Choorna,,50 gms.,,,,17.93,
CHOORNA,Haritaki Choorna,,1 Kg.,,,,198.39,
CHOORNA,Hingwastak Choorna,,50 gms.,,,,54,
CHOORNA,Hingwastak Choorna,,1 Kg.,,,,919.84,
CHOORNA,Madhuyasti Choorna,,25 gms.,,,,16.5,
CHOORNA,Madhuyasti Choorna,,1 Kg.,,,,389.31,
CHOORNA,Panchnimba Choorna,,50 gms.,,,,43.02,
CHOORNA,Panchnimba Choorna,,1 Kg.,,,,700.26,
CHOORNA,Pipali Choorna,,25 gms.,,,,59.47,
CHOORNA,Pipali Choorna,,1 Kg.,,,,2108.16,
CHOORNA,Pushyanug Choorna,,50 gms.,,,,434.76,
CHOORNA,Pushyanug Choorna,,1 Kg.,,,,8535.11,
CHOORNA,Pushyanug Choorna,,90 gms.,,,,774.57,
CHOORNA,Shunthi Choorna,,25 gms.,,,,21.66,
CHOORNA,Shunthi Choorna,,1 Kg.,,,,595.87,
CHOORNA,Sitopaladi Choorna,,25 gms.,,,,37.29,
CHOORNA,Sitopaladi Choorna,,50 gms.,,,,69.07,
CHOORNA,Sitopaladi Choorna,,1 Kg.,,,,1221.14,
CHOORNA,Somlata Choorna,,25 gms.,,,,14.45,
CHOORNA,Somlata Choorna,,500 gms.,,,,157.05,
CHOORNA,Sudarsana Choorna,,25 gms.,,,,22.18,
CHOORNA,Sudarsana Choorna,,1 Kg.,,,,616.62,
CHOORNA,Sudha Svaran Gairik Choorna,,10 gms.,,,,6.68,
CHOORNA,Sudha Svaran Gairik Choorna,,50 gms.,,,,15.72,
CHOORNA,Talisadi  Choorna,,50 gms.,,,,39,
CHOORNA,Talisadi  Choorna,,1 Kg.,,,,619.83,
CHOORNA,Triphala Choorna,,50 gms.,,,,22.7,
CHOORNA,Triphala Choorna,,1 Kg.,,,,293.91,
CHOORNA,Triphala Choorna,,500 gms.,,,,150.35,
CHOORNA,Trivrita Choorna,,5 gms.,,,,6.57,
CHOORNA,Trivrita Choorna,,1 Kg.,,,,218.65,
GHAN VATI,Kutajghan Vati,,5 gms.,,,,17.43,
GHAN VATI,Kutajghan Vati,,100 gms.,,,,245.05,
GHRITA,Brahmi Ghrita,,100 gms.(J),,,,131.06,
GHRITA,Changeri Ghrita,,100 gms.(J),,,,132.56,
GHRITA,Mahatriphaladya Ghrita,,100 gms.(J),,,,218.01,
GHRITA,Panchatiktaguggulu Ghrita,,100 gms.(J),,,,232.6,
