Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Patent Medicines,Ayush 64 40 T/C,,,,,,,
Patent Medicines,Ayush 64 1000 T/C,,,,,,,
Patent Medicines,M-Liv 40 T/C,,,,,,,
Patent Medicines,M-Liv 1000 T/C,,,,,,,
Patent Medicines,M-Liv Syrup 100 ml,,,,,,,
Patent Medicines,M-Liv Syrup 200 ml,,,,,,,
Patent Medicines,M-Liv Syrup 450 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 100 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 200 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 450 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 100 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 200 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 450 ml,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 40 T/C,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 40 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Brahmi Rasayan 100 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 5 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 100 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 50 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 1 kg,,,,,,,
Taila,Maha Narayana Taila 50 ml,,,,,,,
Taila,Maha Narayana Taila 100 ml,,,,,,,
Taila,Maha Narayana Taila 450 ml,,,,,,,
Taila,Neelibhringyadi Ker Taila 50 ml,,,,,,,
Taila,Neelibhringyadi Ker Taila 450 ml,,,,,,,
Taila,Nirgundi Taila 10 ml,,,,,,,
Taila,Panchaguna Taila 50 ml,,,,,,,
Taila,Panchaguna Taila 450 ml,,,,,,,
Taila,Pinda Taila 50 ml,,,,,,,
Taila,Pinda Taila 450 ml,,,,,,,
Taila,Shadbindu Taila 10 ml,,,,,,,
Taila,Shadbindu Taila 50 ml,,,,,,,
Taila,Tuvaraka Taila (Chalmogra) 25 ml,,,,,,,
Ghrita,Brahmi Ghrita 100 gm,,,,,,,
Ghrita,Changeri Ghrita 100 gm,,,,,,,
Ghrita,Mahatriphaladya Ghrita 100 gm,,,,,,,
Ghrita,Panchatiktaguggulu Ghrita 100 gm,,,,,,,
Ghrita,Sarasvata Ghrita 100 gm,,,,,,,
Ghrita,Sukumar Ghrita 100 gm,,,,,,,
Varti,Chandrodaya Varti 5 gm,,,,,,,
Parpati,Panchamrita Parpati 5 gm,,,,,,,
Parpati,Panchamrita Parpati 100 gm,,,,,,,
Parpati,Shvet Parpati 10 gm,,,,,,,
Parpati,Shvet Parpati 100 gm,,,,,,,
Mandoor,Punarnavadi Mandoor 10 gm,,,,,,,
Mandoor,Punarnavadi Mandoor 100 gm,,,,,,,
Mandoor,Punarnavadi Mandoor 60 Tab/Cap,,,,,,,
Shuddha Dravya,Shuddha Gandhak 5 gm,,,,,,,
Shuddha Dravya,Shuddha Narsar (Navasadar) 10 gm,,,,,,,
Shuddha Dravya,Shuddha Narsar (Navasadar) 1 kg,,,,,,,
Shuddha Dravya,Shuddha Silajatu 10 gm,,,,,,,
Shuddha Dravya,Shuddha Silajatu 50 gm,,,,,,,
Guggulu,Gokshuradi Guggulu 20 gm,,,,,,,
Guggulu,Gokshuradi Guggulu 1 kg,,,,,,,
Guggulu,Kaishore Guggulu 20 gm,,,,,,,
Guggulu,Kaishore Guggulu 1 kg,,,,,,,
Guggulu,Kanchnar Guggulu 20 gm,,,,,,,
Guggulu,Kanchnar Guggulu 1 kg,,,,,,,
Guggulu,Laksa Guggulu 20 gm,,,,,,,
Guggulu,Laksa Guggulu 1 kg,,,,,,,
Guggulu,Punarnavadi Guggulu 20 gm,,,,,,,
Guggulu,Punarnavadi Guggulu 1 kg,,,,,,,
Guggulu,Saptavimshatika Guggulu 20 gm,,,,,,,
Guggulu,Saptavimshatika Guggulu 1 kg,,,,,,,
Guggulu,Singhnad Guggulu 20 gm,,,,,,,
Guggulu,Singhnad Guggulu 1 kg,,,,,,,
Guggulu,Triphala Guggulu 20 gm,,,,,,,
Guggulu,Triphala Guggulu 1 kg,,,,,,,
Guggulu,Trayodashanga Guggulu 20 gm,,,,,,,
Guggulu,Trayodashanga Guggulu 1 kg,,,,,,,
Guggulu,Vatari Guggulu 20 gm,,,,,,,
Guggulu,Vatari Guggulu 1 kg,,,,,,,
Guggulu,Vyoshadi Guggulu 20 gm,,,,,,,
Guggulu,Vyoshadi Guggulu 1 kg,,,,,,,
Guggulu,Yograj Guggulu 20 gm,,,,,,,
Guggulu,Yograj Guggulu 1 kg,,,,,,,
Araq,Araq-e-Badiyan 200 ml,,,,,,,
Araq,Araq-e-Gaozaban 200 ml,,,,,,,
Araq,Araq-e-Kasni 200 ml,,,,,,,
Araq,Araq-e-Mako 200 ml,,,,,,,
Araq,Araq-e-Ajeeb 5 ml,,,,,,,
Habb & Qurs,Habb-e-Azaraqi 30 pill,,,,,,,
Habb & Qurs,Habb-e-Azaraqi 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Bawaseer-1 30 pill,,,,,,,
Habb & Qurs,Habb-e-Bawaseer-1 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Bukhar 30 pill,,,,,,,
Habb & Qurs,Habb-e-Bukhar 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Hindi Zeeqi 30 pill,,,,,,,
Habb & Qurs,Habb-e-Hindi Zeeqi 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Jawahar 30 pill,,,,,,,
Habb & Qurs,Habb-e-Jawahar 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Jund 30 pill,,,,,,,
Habb & Qurs,Habb-e-Jund 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Kabid Naushadri 30 pill,,,,,,,
Habb & Qurs,Habb-e-Kabid Naushadri 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Mudir 30 pill,,,,,,,
Habb & Qurs,Habb-e-Mudir 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Muqil 30 pill,,,,,,,
Habb & Qurs,Habb-e-Muqil 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Rasaut 30 pill,,,,,,,
Habb & Qurs,Habb-e-Rasaut 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Shifa 30 pill,,,,,,,
Habb & Qurs,Habb-e-Shifa 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Suranjan 30 pill,,,,,,,
Habb & Qurs,Habb-e-Suranjan 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Surfa 30 pill,,,,,,,
Habb & Qurs,Habb-e-Surfa 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Tinkar 30 pill,,,,,,,
Habb & Qurs,Habb-e-Tinkar 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Tursh Mushti 30 pill,,,,,,,
Habb & Qurs,Habb-e-Tursh Mushti 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Musaffi Khoon 30 pill,,,,,,,
Habb & Qurs,Habb-e-Musaffi Khoon 1000 pill,,,,,,,
Habb & Qurs,Habb-e-Ral 30 pill,,,,,,,
Habb & Qurs,Habb-e-Ral 1000 pill,,,,,,,
Habb & Qurs,Qurs-e-Ghafis 30 pill,,,,,,,
Habb & Qurs,Qurs-e-Ghafis 1000 pill,,,,,,,
Habb & Qurs,Qurs-e-Mulyaiyan 30 pill,,,,,,,
Habb & Qurs,Qurs-e-Mulyaiyan 1000 pill,,,,,,,
Habb & Qurs,Qurs-e-Zarishk 30 pill,,,,,,,
Habb & Qurs,Qurs-e-Zarishk 1000 pill,,,,,,,
Habb & Qurs,Qurs-e-Ziabitus 30 pill,,,,,,,
Habb & Qurs,Qurs-e-Ziabitus 1000 pill,,,,,,,
Habb & Qurs,Qurs-e-Kafoor 30 pill,,,,,,,
Habb & Qurs,Qurs-e-Kafoor 1000 pill,,,,,,,
Habb & Qurs,Bandiq-ul-Buzoor 30 pill,,,,,,,
Habb & Qurs,Bandiq-ul-Buzoor 1000 pill,,,,,,,
Itrifal,Itrifal-e-Shahtara 100 gm,,,,,,,
Itrifal,Itrifal-e-Ustukhuddus 100 gm,,,,,,,
Itrifal,Itrifal-e-Kishneezi 100 gm,,,,,,,
Itrifal,Itrifal-e-zamani 100 gm,,,,,,,
Jawarish,Jawarish-e-Anarain 100 gm,,,,,,,
Jawarish,Jawarish-e-Amlasada 100 gm,,,,,,,
Jawarish,Jawarish-e-Bisbasa 100 gm,,,,,,,
Jawarish,Jawarish-e-Jalinoos 100 gm,,,,,,,
Jawarish,Jawarish-e-Kamooni 100 gm,,,,,,,
Jawarish,Jawarish-e-Mastagi 100 gm,,,,,,,
Jawarish,Jawarish-e-Pudina 100 gm,,,,,,,
Jawarish,Jawarish-e-Shahi 100 gm,,,,,,,
Jawarish,Jawarish-e-Zanjabeel 100 gm,,,,,,,
Jawarish,Jawarish-e-Zaroonisada 100 gm,,,,,,,
Khamira,Khamira Abresham Sada 60 gm,,,,,,,
Khamira,Khamira-e-Marwareed 60 gm,,,,,,,
Khamira,Khamira-e-Gaozuban Sada 60 gm,,,,,,,
Kushta,Kushta Marjan Sada 10 gm,,,,,,,
Kushta,Kushta-e-Shankh 10 gm,,,,,,,
Kushta,Kushta-e-Sadaf 10 gm,,,,,,,
Kushta,Kushta-e-Faulad 10 gm,,,,,,,
Kushta,Kushta-e-Godanti 10 gm,,,,,,,
Kushta,Kushta-e-Baiza-e-Murgh 10 gm,,,,,,,
Lauq,Lauq-e-Khashkhash 100 gm,,,,,,,
Lauq,Lauq-e-Khiarshambar 100 gm,,,,,,,
Lauq,Lauq-e-Sapistan 100 gm,,,,,,,
Marham,Marham Quba 50 gm,,,,,,,
Marham,Marham Kafoor 50 gm,,,,,,,
Majoon,Majoon Arad Khurma 100 gm,,,,,,,
Majoon,Majoon Azaraqi 100 gm,,,,,,,
Majoon,Majoon Ispand Sokhatani 100 gm,,,,,,,
Majoon,Majoon Chobchini 100 gm,,,,,,,
Majoon,Majoon Dabeed-ul-Ward 100 gm,,,,,,,
Majoon,Majoon Falasifa 100 gm,,,,,,,
Majoon,Majoon Hajrul Yahood 100 gm,,,,,,,
Majoon,Majoon Jograj Guggulu 100 gm,,,,,,,
Majoon,Majoon Najah 100 gm,,,,,,,
Majoon,Majoon Piyaz 100 gm,,,,,,,
Majoon,Majoon Rahul Momineen 100 gm,,,,,,,
Majoon,Majoon Suparipak 100 gm,,,,,,,
Majoon,Majoon Suranjan 100 gm,,,,,,,
Majoon,Majoon Ushba 100 gm,,,,,,,
Majoon,Majoon Zabeeb 100 gm,,,,,,,
Majoon,Majoon Kundur 100 gm,,,,,,,
Majoon,Majoon-e-Masik-ul-Baul 100 gm,,,,,,,
Majoon,Majoon-e-Nankhwah 100 gm,,,,,,,
Majoon,Anoshdaru 100 gm,,,,,,,
Majoon,Dawa-ul-misk Motadil Sada 100 gm,,,,,,,
Majoon,Tiryaq-e-Arba 100 gm,,,,,,,
Majoon,Tiryaq-e-Nazla 100 gm,,,,,,,
Unani Medicines - Other,Sanun Mukharije Ratubat 50 gm,,,,,,,
Unani Medicines - Other,Sanun Mukharije Ratubat 1 kg,,,,,,,
Unani Medicines - Other,Zaroore-e-Qula 10 gm,,,,,,,
Unani Medicines - Other,Zaroore-e-Qula 1 kg,,,,,,,
Raughan,Raughan-e-Amla 50 ml,,,,,,,
Raughan,Raughan-e-Amla 100 ml,,,,,,,
Raughan,Raughan-e-Babuna Sada 50 ml,,,,,,,
Raughan,Raughan-e-Laboob-e-Saba 50 ml,,,,,,,
Raughan,Raughan-e-Surkh 25 ml,,,,,,,
Raughan,Raughan-e-Turb 5 ml,,,,,,,
Raughan,Raughan-e-Baiza-e-Murgh 100 ml,,,,,,,
Safoof,Safoof Chutki 50 gm,,,,,,,
Sharbat,Sharbat-e-Unnab 200 ml,,,,,,,
Sharbat,Sharbat-e-Buzoori Motadil 200 ml,,,,,,,
Sharbat,Sharbat-e-Anjabar 200 ml,,,,,,,
Sharbat,Sharbat-e-Deenar 200 ml,,,,,,,
Sharbat,Sharbat-e-Sadar 200 ml,,,,,,,
Sharbat,Sharbat-e-Zufa Murakkab 200 ml,,,,,,,
Sharbat,Sharbat-e-Khaksi 200 ml,,,,,,,
Unani Medicines - New Products,Habb-e-Rewand 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Rewand 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Aasab 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Aasab 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Mubarak 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Mubarak 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Surfa Atfal 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Surfa Atfal 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Hudar 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Hudar 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Zahar Muhra 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Zahar Muhra 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Hilteet 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Hilteet 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Bawaseer Damiya 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Bawaseer Damiya 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Banafsha 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Banafsha 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Karanjawa 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Karanjawa 1000 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Asgand 30 pill,,,,,,,
Unani Medicines - New Products,Habb-e-Asgand 1000 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Anjbar 30 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Anjbar 1000 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Habis 30 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Habis 1000 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Ziabitus Khas 30 pill,,,,,,,
Unani Medicines - New Products,Qurs-e-Ziabitus Khas 1000 pill,,,,,,,
Unani Medicines - New Products,Marham Gulabi 50 gm,,,,,,,
Unani Medicines - New Products,Marham Kharish Jadeed 50 gm,,,,,,,
Unani Medicines - New Products,Marham Sufaid Kafoori 50 gm,,,,,,,
Unani Medicines - New Products,Triyaq-e-Pechish 50 gm,,,,,,,
Unani Medicines - New Products,Halwa Gheekwar 100 gm,,,,,,,
Unani Medicines - New Products,Mazoon Muqawwi-e-Raham 100 gm,,,,,,,
Unani Medicines - New Products,Luboob Sagheer 100 gm,,,,,,,
Unani Medicines - New Products,Majoon Sangdana-e-Murgh 100 gm,,,,,,,
Unani Medicines - New Products,Raughan-e-Ahmar 50 ml,,,,,,,
Unani Medicines - New Products,Raughan-e-Suranjan 50 ml,,,,,,,
Unani Medicines - New Products,Sufoof Kakara-Singi 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof-e-Mushil 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof Hazim 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof Muhazzil 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof Tabkheer 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof Surkh 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof-e-Namak-e-Shaikh-ur-Raees 50 gm,,,,,,,
Unani Medicines - New Products,Sufoof-e-Bars 50 gm,,,,,,,
Unani Medicines - New Products,Zimad-e-Muhallil 50 gm,,,,,,,
Unani Medicines - New Products,Sikanjbeen Buzoori Motadil 200 ml,,,,,,,
Unani Medicines - New Products,Kushta-e-Hajrul Yahood 10 gm,,,,,,,
