Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Patent Medicines,Ayush 64 40 T/C,,,,,,,
Patent Medicines,Ayush 64 1000 T/C,,,,,,,
Patent Medicines,M-Liv 40 T/C,,,,,,,
Patent Medicines,M-Liv 1000 T/C,,,,,,,
Patent Medicines,M-Liv Syrup 100 ml,,,,,,,
Patent Medicines,M-Liv Syrup 200 ml,,,,,,,
Patent Medicines,M-Liv Syrup 450 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 100 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 200 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 450 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 100 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 200 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 450 ml,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 40 T/C,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 40 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Brahmi Rasayan 100 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 5 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 100 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 50 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 1 kg,,,,,,,
Vati & Gutika,Sansamani Vati 100 gm,,,,,,,
Vati & Gutika,Sarivadi Vati 10 gm,,,,,,,
Vati & Gutika,Sarivadi Vati 100 gm,,,,,,,
Vati & Gutika,Shankh Vati 5 gm,,,,,,,
Vati & Gutika,Shankh Vati 500 gm,,,,,,,
Vati & Gutika,Vishmushtika Vati 5 gm,,,,,,,
Vati & Gutika,Vishmushtika Vati 100 gm,,,,,,,
Vati & Gutika,Vishtinduk Vati 5 gm,,,,,,,
Vati & Gutika,Vishtinduk Vati 100 gm,,,,,,,
Vati & Gutika,Vyoshadi Vati 10 gm,,,,,,,
Vati & Gutika,Vyoshadi Vati 100 gm,,,,,,,
Ghan Vati,Kutajghan Vati 5 gm,,,,,,,
Ghan Vati,Kutajghan Vati 100 gm,,,,,,,
Bhasma,Godanti Bhasma 5 gm,,,,,,,
Bhasma,Godanti Bhasma 100 gm,,,,,,,
Bhasma,Godanti Bhasma 1 kg,,,,,,,
Bhasma,Kapardika Bhasma 5 gm,,,,,,,
Bhasma,Kapardika Bhasma 100 gm,,,,,,,
Bhasma,Kapardika Bhasma 1 kg,,,,,,,
Bhasma,Muktashukti Bhasma 5 gm,,,,,,,
Bhasma,Muktashukti Bhasma 100 gm,,,,,,,
Bhasma,Muktashukti Bhasma 1 kg,,,,,,,
Bhasma,Praval Bhasma 5 gm,,,,,,,
Bhasma,Praval Bhasma 1 kg,,,,,,,
Bhasma,Shankha Bhasma 5 gm,,,,,,,
Bhasma,Shankha Bhasma 100 gm,,,,,,,
Bhasma,Shankha Bhasma 1 kg,,,,,,,
Bhasma,Sphatika Bhasma 5 gm,,,,,,,
Bhasma,Sphatika Bhasma 100 gm,,,,,,,
Bhasma,Sphatika Bhasma 1 kg,,,,,,,
Bhasma,Tankan Bhasma 5 gm,,,,,,,
Bhasma,Tankan Bhasma 100 gm,,,,,,,
Bhasma,Tankan Bhasma 1 kg,,,,,,,
Lepa,Dadrughn Lepa 10 gm,,,,,,,
Lepa,Dadrughn Lepa 100 gm,,,,,,,
Lepa,Dashanga Lepa 50 gm,,,,,,,
Lepa,Dashanga Lepa 500 gm,,,,,,,
Lepa,Lepagutika 10 gm,,,,,,,
Lepa,Lepagutika 100 gm,,,,,,,
Lauha,Brihadyakridari Lauha 10 gm,,,,,,,
Lauha,Brihadyakridari Lauha 100 gm,,,,,,,
Lauha,Chandanadi Lauha 10 gm,,,,,,,
Lauha,Chandanadi Lauha 100 gm,,,,,,,
Lauha,Dhatri Lauha 10 gm,,,,,,,
Lauha,Dhatri Lauha 100 gm,,,,,,,
Lauha,Dhatri Lauha 60 Cap,,,,,,,
Lauha,Navayasa Lauha 10 gm,,,,,,,
Lauha,Navayasa Lauha 100 gm,,,,,,,
Lauha,Saptamrita Lauha 10 gm,,,,,,,
Lauha,Saptamrita Lauha 100 gm,,,,,,,
Lauha,Shilajetvadi Lauha 10 gm,,,,,,,
Lauha,Shilajetvadi Lauha 100 gm,,,,,,,
Lauha,Vidangadya Lauha 10 gm,,,,,,,
Lauha,Vidangadya Lauha 100 gm,,,,,,,
Choorna,Ajmodadi Choorna 50 gm,,,,,,,
Choorna,Ajmodadi Choorna 1 kg,,,,,,,
Choorna,Amalaki Choorna 100 gm,,,,,,,
Choorna,Amalaki Choorna 1 kg,,,,,,,
